ZIP,total_crime,violent_crime_rate,property_crime_rates,drug_cimes,vandalism,other_crimes
90640,42.459,4.673,22.51,9.703,4.133,1.44
90650,35.141,2.845,16.34,11.43,3.206,1.32
90660,39.889,4.156,16.53,14.73,3.133,1.34
90670,49.907,5.564,21.68,14.52,5.613,2.53
90701,23.532,3.045,13.86,3.515,1.692,1.42
90703,22.844,3.176,13.22,2.493,2.575,1.38
90704,110.1,12.93,60.4,24.17,10.59,2.01
90706,39.647,3.864,19.22,8.291,6.912,1.36
90710,28.646,3.572,16.32,3.746,3.878,1.13
90712,28.502,3.285,17.42,5.208,1.179,1.41
90713,19.9562,2.097,10.29,5.627,0.6722,1.27
90715,19.102,2.248,9.39,2.767,3.407,1.29
90716,28.55,3.084,16.49,3.696,3.89,1.39
90717,21.473,2.602,13.13,2.768,1.793,1.18
90723,37.098,4.828,19.09,5.462,6.238,1.48
90731,41.378,4.564,16.54,11.75,7.204,1.32
90732,22.095,2.669,12.94,1.665,3.641,1.18
90744,40.068,4.681,16.25,8.702,8.705,1.73
90745,33.511,2.896,17.19,7.333,4.572,1.52
90746,44.643,5.233,22.05,7.81,7.98,1.57
90755,53.87,5.176,18.09,5.894,23.19,1.52
90802,121.67,12.04,28.16,38.78,40.91,1.78
90803,87.663,3.393,19.09,7.52,56.07,1.59
90804,74.641,6.881,20.1,17.72,28.27,1.67
90805,42.167,5.211,21.26,4.38,9.766,1.55
90806,64.441,6.741,21.37,23.73,11.05,1.55
90807,36.154,3.787,17.06,9.843,3.954,1.51
90808,20.632,2.427,13.28,1.922,1.673,1.33
90810,40.919,4.457,16.05,11.58,7.272,1.56
90813,100.555,7.805,24.95,37.73,28.48,1.59
90814,78.584,3.733,20.04,6.631,46.51,1.67
90815,28.378,3.143,13.02,7.057,3.568,1.59
91001,27.831,3.436,12.56,6.89,2.895,2.05
91006,24.355,3.082,12.28,5.083,2.59,1.32
91007,28.14,3.314,11.52,8.833,3.163,1.31
91010,30.412,3.296,15.44,7.249,3.037,1.39
91011,20.578,3.018,9.831,3.9,2.139,1.69
91016,27.004,2.745,14.49,5.272,3.147,1.35
91020,18.335,3.382,9.079,2.747,1.467,1.66
91024,28.919,2.864,10,12.18,2.575,1.3
91030,24.265,2.953,12.25,4.908,2.834,1.32
91040,28.939,3.106,10.95,5.466,7.847,1.57
91042,27.669,2.809,10.94,10.06,2.29,1.57
91101,55.94,12.04,22.53,10.94,8.66,1.77
91103,48.295,5.691,21.07,8.864,10.51,2.16
91104,43.432,3.792,15.09,11,11.75,1.8
91105,31.131,8.203,12.52,3.644,4.674,2.09
91106,41.937,6.236,24.75,5.411,3.88,1.66
91107,25.724,2.862,11.75,6.357,3.355,1.4
91108,31.07,3.186,13.58,10.47,2.554,1.28
91201,40.087,5.235,17.69,12.8,2.492,1.87
91202,32.055,4.897,13.53,6.834,4.924,1.87
91203,40.275,5.63,14.06,7.895,10.73,1.96
91204,60.961,5.761,21.63,14.01,17.51,2.05
91205,47.669,5.442,16.68,15.16,8.387,2
91206,37.732,5.112,13.57,9.65,7.55,1.85
91207,27.385,4.469,10.86,5.309,4.867,1.88
91208,22.326,3.551,11.45,3.4,2.075,1.85
91214,18.899,2.548,9.857,2.947,1.837,1.71
91301,24.284,2.39,8.266,9.056,3.492,1.08
91302,19.634,1.586,12.95,1.194,2.904,1
91303,38.017,3.748,14.33,13.46,5.219,1.26
91304,28.578,2.96,11.64,9.703,2.985,1.29
91306,33.612,2.619,16.69,9.367,3.776,1.16
91307,27.727,2.205,10.77,10.34,3.322,1.09
91311,24.043,3.123,12.19,3.596,3.834,1.3
91316,28.724,2.285,13.81,6.857,4.752,1.02
91321,146.344,7.01,19.79,2.884,114.7,1.96
91324,41.005,4.345,15.53,15.8,4.27,1.06
91325,34.026,3.828,14.79,10.55,3.878,0.98
91326,14.7899,2.37,8.846,0.6769,1.837,1.06
91331,48.268,5.093,19.61,15.95,6.295,1.32
91335,42.187,4.234,15.63,12.7,8.493,1.13
91340,46.856,4.833,17.57,13.31,9.803,1.34
